idPersona,esEmpleado,esCliente,esProveedor,idSucursal,nombre,apellidoP,apellidoM,correo,telefono,estado,calle,municipio,numero,cp,rfc,edad,salario,antiguedad,nss,curp,noPuntos,esParrillero,esMesero,esCajero,esTortillero,esRepartidor,fechaIngreso
8584544755,true,false,false,2914774066,Risa,Seedhouse,Bronger,rbrongerc@columbia.edu,5954107151,Guerrero,Summer Ridge,Nochistln de Meja,94,95020,KCGF697836MRZ,29,59580.69,34,7656994293,,,true,true,false,true,true,2021-07-04
2260267619,true,false,false,9391336410,Pincus,Lind,Lonie,plonied@yale.edu,7988244329,Chihuahua,Dorton,Santiago Lalopa,8417,54915,JQKE425884QII,96,52397.83,15,9381142729,,,false,true,false,false,true,2019-11-11
7084676391,true,false,false,6300724362,Ileane,Bannon,Nehls,inehlse@samsung.com,8957829846,Sinaloa,Northridge,Morolen,2041,93295,MCGZ975294JWL,20,98230.03,21,1251661919,,,true,false,false,true,true,2019-12-09
0578430369,true,false,false,6286302982,Pamela,Bremmer,Artus,partusf@amazon.de,9686860409,Sonora,Hudson,Jos Sixto Verduzco,69915,92817,JVGP081616CQV,86,23003.12,33,5342619344,,,true,false,true,false,false,2022-02-13
4569441766,false,true,false,,Adlai,Consadine,Gudgen,agudgeng@shareasale.com,1685019137,Morelos,Wayridge,Hocab,97,28405,FDOC362281UIY,,,,,CCMU525774BVIKKFIS,2869,false,false,false,false,false,
3373745138,true,false,true,7462592733,Maisie,Schmuhl,Bennoe,mbennoeh@printfriendly.com,6633359312,Veracruz de Ignacio de la Llave,Rowland,Rojas de Cuauhtmoc,67,39081,YKKA237956ZPI,5,40904.22,11,5336640891,,,true,true,true,true,false,2021-09-07
7977993276,true,true,true,0500968903,Morena,Pellew,Grunbaum,mgrunbaumi@dedecms.com,6226128653,Chiapas,Village,San Miguel Ixitln,53083,90939,YFFJ511234ZYO,99,1646.93,25,4033170970,RLLN440629LBXXBUAM,36674,false,false,false,true,false,2021-08-12
5490309280,true,true,true,1315456437,Connor,Ever,Fannin,cfanninj@abc.net.au,5750466283,Yucatan,Miller,Tanquin de Escobedo,54517,74445,OKNT169132ZWS,26,62235.89,32,3388521700,PJAV098374EZOEZTZW,7431,true,true,true,false,true,2020-05-07
8945224079,false,true,false,,Gaby,Breward,Grimsdith,ggrimsdithk@opera.com,7278760015,Chiapas,Erie,Del Nayar,70920,64474,AWLR980170EBB,,,,,FGVA012948UHLPFHXI,23233,false,false,false,false,false,
7798302957,true,true,false,7739948965,Ellis,Habishaw,Huelin,ehuelinl@tinypic.com,4664691765,Coahuila de Zaragoza,Dryden,Huajicori,3708,95914,SENT795096PVZ,87,52196.73,32,6182366570,RONT049651AIFNOZKV,18155,false,true,false,true,true,2018-11-13
9208531485,true,false,true,0500968903,Beatrix,Mengue,Jewel,bjewelm@chronoengine.com,4559080151,Michoacán,Namekagon,Bacalar,5809,63004,FZES627298BNF,50,79129.43,36,1845906864,,,false,true,true,true,true,2022-02-03
6126008299,true,true,false,6682277867,Ernestine,Dugmore,Helin,ehelinn@washington.edu,8358349776,San Luis Potosi,Onsgard,Tenochtitln,230,79792,HJHO322390QRE,35,34314.13,17,8196310033,YEFT011970EWJDOMFH,41712,false,false,true,true,false,2019-04-17
1851258354,true,false,true,5001027211,Carin,Hurnell,Reimer,creimero@prlog.org,4857632164,San Luis Potosi,Elgar,Mineral de la Reforma,58,18655,GSJM437935LLM,98,99765.75,19,4153260958,,,true,true,false,false,false,2020-11-27
7726350236,false,true,true,,Idalina,Lapthorn,Lanphere,ilanpherep@craigslist.org,9965090074,Tamaulipas,Westridge,Acuamanala de Miguel Hidalgo,0,79363,KGXS091054SBU,,,,,NIVL237222KXPCYLIM,49324,false,false,false,false,false,
8193630594,true,false,true,2400100018,Layla,Djakovic,Yurmanovev,lyurmanovevq@usnews.com,0471636246,México,Bonner,Mezquitic,22649,67190,LOZL667600UXF,34,84011.42,3,4965010237,,,true,false,false,false,false,2019-08-02
7946191977,true,false,false,3856309904,Daisie,Underwood,Stanes,dstanesr@t-online.de,8500880242,Nayarit,Anzinger,Gmez Palacio,772,18536,ANNE092697PQM,12,40674.93,29,0217108070,,,true,false,false,true,true,2020-08-15
2610364627,false,false,true,,Torrance,Ternott,Vezey,tvezeys@e-recht24.de,2768536641,Chiapas,Stoughton,Churintzio,119,99468,VYIQ822817MCT,,,,,,,false,false,false,false,false,
7666518894,true,false,false,2305896180,Port,Pury,Drake,pdraket@typepad.com,9509945277,Oaxaca,Melrose,Tuzantn,8445,42416,YMWL656372KKJ,13,83188.97,1,6534501353,,,false,false,true,false,true,2021-02-01
7055707031,false,true,true,,Daryl,O'Feeney,Ardron,dardronu@t.co,6083222918,San Luis Potosi,Del Sol,Zaragoza,6983,29375,KVMC876239EPC,,,,,NGHB672915JNNHKYKZ,38408,false,false,false,false,false,
2669740263,true,false,true,9203485981,Shaine,Padefield,Laverty,slavertyv@shutterfly.com,5590155736,Queretaro,Hovde,Francisco Len,9637,15511,VPLX542568VJD,92,36233.55,30,8305444889,,,true,false,false,true,true,2018-09-07
9769656351,true,false,true,3170212556,Gloriana,Dinley,Apfler,gapflerw@g.co,9464367277,Aguascalientes,Merry,Silacayopam,173,03048,ERBC755728MAE,43,27576.79,30,3676236193,,,true,false,false,false,false,2019-09-23
4954683735,false,true,false,,Jonathan,Korda,Jandl,jjandlx@delicious.com,8144810473,Guanajuato,Dorton,San Simn Zahuatln,633,30725,TEXK540575QYL,,,,,QLAI305365MFZXSFZE,31096,false,false,false,false,false,
5686594441,false,true,false,,Samantha,March,Dy,sdyy@ft.com,0103440619,Coahuila de Zaragoza,Havey,Anhuac,28,43250,VMEA764620BCL,,,,,TDKB954807JCHXUPAD,1974,false,false,false,false,false,
4853534599,false,true,true,,Padraic,Gooderidge,Klausewitz,pklausewitzz@cornell.edu,5521920781,Sonora,Coleman,General Canuto A. Neri,97820,40838,PSAD997889UKD,,,,,ZTPP028731ZCKJDQZO,15082,false,false,false,false,false,
0611449146,false,false,true,,Griffie,Reape,Anderer,ganderer10@t-online.de,4604261377,Campeche,Southridge,Escuinapa,44492,04934,RYSZ512130ZON,,,,,,,false,false,false,false,false,
5525389907,false,true,true,,Caesar,Spelling,Chapelhow,cchapelhow11@bizjournals.com,5779679576,Yucatan,Golf Course,La Libertad,3984,10025,WZJB627053VMM,,,,,JZNR159178SIYUEJGF,14334,false,false,false,false,false,
6611469620,true,true,true,6286302982,Bobine,Reedshaw,Crowch,bcrowch12@mlb.com,1655371581,Baja California Sur,Mccormick,Venustiano Carranza,9,68675,ZHKV460935CAW,75,71661.43,10,2988952869,JBMO783644AOYDAGZX,45268,false,false,false,false,true,2018-06-28
9625266822,true,false,false,9480983189,Zelda,Isacq,Buckthorp,zbuckthorp13@microsoft.com,3654106370,México,Parkside,San Pedro Ixtlahuaca,5,17569,NVEO872794ARQ,31,36767.32,5,6445419642,,,false,true,false,false,false,2019-12-24
2679837720,true,false,false,7081447580,Kathleen,Bartke,Riepl,kriepl14@google.it,9335273094,Sinaloa,Columbus,Ixpantepec Nieves,215,02913,QUIW916478DER,46,16906.4,20,4312975146,,,false,true,true,true,true,2020-11-02
1841962890,false,true,true,,Sadie,Ligoe,Dearn,sdearn15@amazon.de,8123850860,Tabasco,Green,Eloxochitln de Flores Magn,0785,67944,ADFH327857SEN,,,,,WXBP219758WFEHVQMS,33031,false,false,false,false,false,
9968579265,true,false,true,4987219328,Elysee,Jodlowski,Tetther,etetther16@bigcartel.com,0991640359,Baja California,Arizona,Ayotln,2,93618,ALTF341480WIM,51,79777.23,1,4192902151,,,false,true,true,false,true,2022-02-19
8155724838,false,true,false,,Clyde,Bourne,Blabber,cblabber17@globo.com,9315551328,Durango,Meadow Valley,Chocamn,2308,17971,HIUM424009USS,,,,,VFAB608264OFQMDCSX,36572,false,false,false,false,false,
9060297274,false,false,true,,Natale,Syversen,Warde,nwarde18@symantec.com,7003063215,México,Thompson,Reynosa,5360,06134,GKGK481943SKZ,,,,,,,false,false,false,false,false,
1648288540,false,false,false,,Hedwig,Giercke,Atto,hatto19@goo.gl,9823525335,Oaxaca,Logan,San Cristbal de las Casas,808,83927,UPMO489199UYT,,,,,,,false,false,false,false,false,
9770279408,true,false,false,8181560852,Ally,Voce,Girauld,agirauld1a@livejournal.com,9103994306,Jalisco,La Follette,Santa Mara Sola,2447,33463,ECZY278458PJJ,100,48027.35,17,4674530257,,,false,true,false,false,true,2020-03-22
5918667099,false,false,false,,Dickie,Counter,Cregan,dcregan1b@bing.com,2766358059,Queretaro,Monterey,Tianguistenco,419,11665,AZIC364269HTC,,,,,,,false,false,false,false,false,
9904432753,false,true,true,,Boycie,Odegaard,Kiffe,bkiffe1c@moonfruit.com,4014480793,Guerrero,Florence,Xiutetelco,18,65670,BAYX061468YKS,,,,,KSQR926601RGTHOPGI,22817,false,false,false,false,false,
4049744431,false,false,true,,Kahlil,Woofenden,Buessen,kbuessen1d@spotify.com,3883653941,Ciudad de México,Dunning,Huiramba,330,68961,RGYX734254NOY,,,,,,,false,false,false,false,false,
1713933127,false,true,false,,Bellina,Tompkiss,Roddick,broddick1e@squarespace.com,4445135292,Campeche,Sachs,Crdenas,243,89516,WQVY868492KZM,,,,,DCTS027537WYHBBZSI,28573,false,false,false,false,false,
4921704866,false,false,true,,Garrick,Ivain,Ewols,gewols1f@photobucket.com,0560417973,Nuevo Leon,Loftsgordon,Milpa Alta,643,38115,LTRG213120PXI,,,,,,,false,false,false,false,false,
8911258812,true,false,true,3099686809,Belita,Brachell,Eddolls,beddolls1g@slate.com,5849165841,Veracruz de Ignacio de la Llave,Old Shore,San Juan Chilateca,64856,64662,UKKD856547YVC,14,46034.41,4,8514071568,,,true,false,false,false,false,2020-10-18
6935275585,true,false,true,1868638366,Smitty,Deners,Wurst,swurst1h@hibu.com,2469974504,Oaxaca,Graedel,San Julin,00,97167,SLOM595927XOI,66,14324.04,17,9242147301,,,false,true,false,false,true,2018-03-03
4199776163,true,true,false,0024300376,Tabbie,Gronno,Luscombe,tluscombe1i@dropbox.com,7524371967,Aguascalientes,Sommers,Atzitzintla,5,20675,VFCI923631KZE,80,78455.23,5,8249585533,SIQO437001APJJJTAN,40458,false,false,true,false,false,2018-07-10
8065477932,true,true,true,3856309904,Markus,Heinle,Cleobury,mcleobury1j@purevolume.com,3290322056,Michoacán,Mariners Cove,Tlanepantla,9590,22859,RZFI817165QNR,41,35761.09,29,0364464572,MCDX168106TENIKMZB,40220,true,true,false,false,false,2020-02-13
4284753104,true,true,true,8563949760,Wynne,Caslane,Navarijo,wnavarijo1k@blogs.com,4842793256,México,Dottie,La Huacana,40,99671,DVIT795259OIY,22,86269.57,25,0461367448,ZJQQ916144YJSIBNXV,12328,true,true,true,false,true,2018-08-25
2261977752,true,false,true,6936678912,Norean,Willshear,Massel,nmassel1l@artisteer.com,2292892740,Chiapas,Ridgeway,Santiago Tamazola,687,29239,NBWM712492VTK,18,58397.0,25,9056211447,,,false,true,true,false,true,2018-01-08
3004599448,true,false,false,7599290315,Sybila,Croy,Turvey,sturvey1m@liveinternet.ru,9043769348,Zacatecas,Buhler,San Juan Atepec,6273,98751,AGHL540541AIF,78,3035.16,28,3728677753,,,true,true,true,true,true,2021-08-27
1360440906,true,false,true,2910224639,Rosaline,Garner,Skunes,rskunes1n@photobucket.com,0297898133,México,Haas,La Misin,0,57779,RQLY362694ZWH,23,79896.47,40,6406395840,,,false,false,false,true,true,2019-09-26
2305944553,true,true,false,5611059489,Brendon,Doolan,Brosi,bbrosi1o@vkontakte.ru,0772320137,San Luis Potosi,Barby,Ajuchitln del Progreso,72709,31537,NWFT915681DTX,7,52823.91,18,3878245454,POVN317642RXRFFWQY,13515,true,true,true,true,true,2021-02-13
5709938959,false,false,false,,Findley,Boxell,Jurczyk,fjurczyk1p@123-reg.co.uk,2065800088,Tlaxcala,Gateway,Rosario,6,14125,VMZW937919FBZ,,,,,,,false,false,false,false,false,
8131402920,false,true,true,,Barb,MacKellen,Treuge,btreuge1q@weibo.com,8655371516,Morelos,Banding,Xaltocan,765,82810,CCRK503560WOX,,,,,EOKH049310KFOUVLAB,33033,false,false,false,false,false,
5579040262,true,true,false,8546414468,Ediva,Clout,Brunstan,ebrunstan1r@ocn.ne.jp,9111133746,Morelos,Fuller,San Miguel Piedras,61078,79486,BFYF004042HFJ,42,18968.24,9,4981128769,LUVZ885376CGOKZCNP,27219,true,true,true,false,false,2020-11-10
9617377086,true,false,true,5611059489,Clifford,Augar,Dell Casa,cdellcasa1s@fda.gov,8987327505,Colima,Rockefeller,Zumpahuacn,3039,68133,VSXE753482HNF,55,65069.51,5,7785478794,,,true,true,false,false,false,2021-07-25
7489794106,false,true,true,,Elka,Stanyon,Nansom,enansom1t@hao123.com,1510195192,Quintana Roo,Kedzie,Tataltepec de Valds,7789,56445,DWOZ213407SNT,,,,,ZUDJ571988VCLQUEPQ,38585,false,false,false,false,false,
3515360344,false,false,false,,Neel,Plowright,Kleinber,nkleinber1u@salon.com,7860494872,Tlaxcala,Green Ridge,San Juan del Ro,5665,22250,EVPJ156181QIG,,,,,,,false,false,false,false,false,
4263287800,false,true,true,,Kym,Wheelband,Purchon,kpurchon1v@github.com,3946118396,Queretaro,Roxbury,San Juan Bautista Suchitepec,70,43511,DQNX698956YPI,,,,,WUVM164298TPSXZSZY,34686,false,false,false,false,false,
9795006736,true,false,false,5258258542,Mariejeanne,Gunnell,Fassum,mfassum1w@360.cn,8019961414,Guanajuato,Welch,San Miguel Mixtepec,649,82723,SRIX558101SXW,34,51510.57,28,5658889310,,,false,true,false,false,false,2018-12-21
8464147131,false,true,true,,Tara,Gregoriou,Hauck,thauck1x@parallels.com,3709078592,San Luis Potosi,Grasskamp,San Pedro Tapanatepec,54,39467,FZAL657687VDI,,,,,AIQE721481ZLGBXRIB,41215,false,false,false,false,false,
1819451701,true,false,true,0969009840,Torr,Grigoletti,Littlepage,tlittlepage1y@goo.gl,0889403475,Veracruz de Ignacio de la Llave,Canary,Quechultenango,335,37331,TOSN000517SYM,97,29233.54,1,9156083283,,,true,false,true,false,true,2020-08-31
9362053005,true,false,false,5931015174,Orsola,Pioli,Rawsen,orawsen1z@paypal.com,2749925341,San Luis Potosi,Merchant,Santa Catalina Quier,3422,76757,DMXD294712LSA,87,24932.21,31,1317684495,,,false,true,false,true,true,2018-02-18
9124372689,false,true,false,,Brittan,Macilhench,MacPeice,bmacpeice20@telegraph.co.uk,8625130341,Baja California Sur,Huxley,Santiago Xiacu,18163,85555,TFAI853318DHH,,,,,PIKI090248IXZIGQQK,37213,false,false,false,false,false,
2904319393,true,true,true,1985044157,Candy,Kliner,McAtamney,cmcatamney21@illinois.edu,1822835306,Oaxaca,Doe Crossing,Tetecala,4,97168,YHQJ226855KHL,2,13418.38,36,0970061932,IRLM258906OSZSZELA,19810,false,false,true,false,true,2019-12-19
5366809534,false,false,true,,Gloriana,Oehm,Boyn,gboyn22@ucsd.edu,7282845083,Coahuila de Zaragoza,Warbler,Coyame del Sotol,5521,75579,PCKE156794DRK,,,,,,,false,false,false,false,false,
1985335434,false,false,true,,Cynthy,Vogeller,Douty,cdouty23@studiopress.com,6046400378,Yucatan,Loeprich,Cadereyta Jimnez,54,50359,ZYWB994921NSZ,,,,,,,false,false,false,false,false,
2090377515,true,true,true,0636311349,Neale,Iapico,Caillou,ncaillou24@ucla.edu,1322709726,Michoacán,Sachs,Santiago Matatln,28,98823,XIZB828185IFQ,67,9022.42,31,6697561930,OHBM046545AEELTUZH,15299,true,true,true,true,false,2021-02-06
1360439518,true,true,true,8563949760,Fredra,Peirazzi,Savil,fsavil25@wisc.edu,8505256830,Chiapas,Garrison,Villa Hidalgo,24,09568,CIXK223940FBF,60,7210.38,7,0243060363,VXHF216169PNMBJDRJ,36604,true,false,true,true,false,2019-10-01
3714859906,false,false,false,,Dave,Darkott,Dabney,ddabney26@cargocollective.com,6533662798,Guerrero,Blackbird,Tecomatln,343,36146,PQGF338052CWS,,,,,,,false,false,false,false,false,
3925971380,false,true,false,,Denney,Camplen,Oolahan,doolahan27@facebook.com,4544513343,Oaxaca,Kenwood,Alcozauca de Guerrero,7626,55278,GQVH355801CXL,,,,,TWWU126991XPSRDBCR,18494,false,false,false,false,false,
1895109845,true,true,false,3340417935,Alex,Dalliston,Hansen,ahansen28@nytimes.com,9070078613,Baja California,Pawling,Chiln,174,09261,KFKT187979LXB,26,82891.96,28,8069179761,TFTY986527MFZHNNVJ,22901,false,false,false,true,true,2021-03-27
1540233358,true,true,false,9871349695,Filia,Trivett,Laxson,flaxson29@reverbnation.com,5232303375,Chihuahua,Rutledge,Autln de Navarro,45,71901,VOEP422047BBQ,5,90053.44,23,8921326339,GVHB042700JCNVYJGY,25868,true,false,true,false,false,2021-11-16
8344786324,true,false,false,3628296783,Marian,Powers,Pedrozzi,mpedrozzi2a@quantcast.com,6627409339,Nuevo Leon,Forest Run,Atotonilco el Alto,0,84787,GBTI151265OQP,20,64194.23,30,7708966990,,,false,false,true,false,true,2022-05-27
5682280513,true,true,false,9639618522,Calli,Holgan,Fishbie,cfishbie2b@yahoo.co.jp,0915113251,Hidalgo,Roxbury,Charcas,09,27203,KMLQ620179NRZ,70,40337.65,9,0058828733,ANOA594550PSFTMKWI,45462,false,true,true,true,false,2019-07-09
5036031688,false,false,false,,Herculie,Nurse,Scanterbury,hscanterbury2c@senate.gov,9469586415,Michoacán,Buell,Iztapalapa,9,19103,DVYS421972COP,,,,,,,false,false,false,false,false,
4511377174,false,true,true,,Filberto,Masson,Blofeld,fblofeld2d@last.fm,8358686524,Nayarit,Dakota,Santa Catarina Ticu,382,80556,SOSC249804OMY,,,,,IPNQ914913RGCKKVVQ,49940,false,false,false,false,false,
8226214329,true,true,true,9974218067,Melosa,Gillman,Bingle,mbingle2e@upenn.edu,6326156002,Oaxaca,Hintze,Sunuapa,20589,07513,MZIH768252TCB,51,15703.22,40,7345915677,KBHD087918JXOEAGIH,13475,false,false,true,true,false,2019-07-11
0790523475,false,true,true,,Archibaldo,Drust,Fricke,africke2f@oracle.com,0239996837,Tabasco,Troy,Santa Mara Ppalo,57,17761,XSIM919442RLE,,,,,XIVB939753YHBSFQKU,2401,false,false,false,false,false,
5975971605,true,true,true,3247416465,Ricca,Vevers,Peet,rpeet2g@usatoday.com,3840050487,Ciudad de México,Fair Oaks,San Juan Juquila Vijanos,9,29071,NWUT342901GMT,87,76509.72,8,0922245173,RYKE095231WVODOHRP,5330,false,true,false,false,false,2019-08-10
4403158942,false,false,true,,Marcela,Yeomans,Bartkowiak,mbartkowiak2h@paypal.com,0157248889,Baja California,Saint Paul,San Antonio Nanahuatpam,950,53380,EAYW072799UJI,,,,,,,false,false,false,false,false,
6533511217,false,true,false,,Phil,Gebb,McCoole,pmccoole2i@cargocollective.com,0565348218,Tlaxcala,Westport,Villa Comaltitln,49368,34509,MTAL725254MWZ,,,,,MPQV450425PLASDDBV,24562,false,false,false,false,false,
5196244432,true,true,true,8546414468,Nappie,Tomasino,Isaac,nisaac2j@last.fm,7271505858,Campeche,Hanson,Polotitln,11,38379,UKIO860934QKK,63,13500.08,29,6278786276,EHSA899467YQREYOBO,8993,false,false,true,true,false,2018-08-14
4990640057,false,true,false,,Winny,Fynn,Chansonnau,wchansonnau2k@miibeian.gov.cn,1020620026,Tabasco,Golf Course,San Francisco Tlapancingo,8,08966,LPIJ701702IKA,,,,,YWOB015678QXBYODEB,21156,false,false,false,false,false,
3632802839,true,false,true,9974218067,Fons,Fleeman,Leijs,fleijs2l@amazon.co.jp,9748218669,Tamaulipas,Judy,Yehualtepec,4,64114,IHAU112020MQR,59,95577.14,25,2942972352,,,false,false,false,false,true,2019-07-26
7812901983,true,true,true,2893177572,Nyssa,Greenfield,Sturt,nsturt2m@eepurl.com,0162690249,Guanajuato,Hauk,Sayula de Alemn,81,89597,LIWV603899GJH,84,52326.42,5,7834744737,HZYA009413DMDWOKCL,26158,true,true,false,true,false,2021-10-22
4636980244,false,false,false,,Corilla,Snugg,Brinson,cbrinson2n@latimes.com,3957489192,Tlaxcala,Old Gate,Malinalco,20107,72530,UTPG904388FFX,,,,,,,false,false,false,false,false,
2978051601,true,false,true,2400100018,Abbe,Bucknall,Kenright,akenright2o@pen.io,6960650538,Campeche,Chinook,Tecali de Herrera,5752,79328,TWEU008316AOL,84,5511.64,5,3677730722,,,false,true,false,false,false,2018-10-17
7808150879,false,true,true,,Fons,Covill,Vernay,fvernay2p@usgs.gov,5938629180,Colima,Holy Cross,Tapalapa,143,19320,UXTG364496URC,,,,,BDOS936284AKWKJAUU,19265,false,false,false,false,false,
0770926685,false,true,false,,Addi,Giacobini,Hercules,ahercules2q@narod.ru,8109958623,Veracruz de Ignacio de la Llave,Warbler,Santa Catarina Ixtepeji,43,24821,OBLF419192XSZ,,,,,VMLN243715BGHNBNTA,43194,false,false,false,false,false,
5099047611,true,true,true,9083676154,Pearce,Neiland,Ennals,pennals2r@webs.com,1128920398,Nayarit,Claremont,Tekax,7,14293,ITZR498265TPK,77,42462.38,15,6674775371,IAUW834645FVXTZCJQ,9686,true,true,false,true,true,2018-07-10
1026603111,true,false,true,9902649605,Suzy,Charnley,Norwich,snorwich2s@quantcast.com,9870590267,Puebla,Dahle,Santa Cruz Mixtepec,30,71113,JJZG210763KDG,39,29336.76,14,3191157509,,,true,false,false,false,false,2021-12-27
9420065697,true,false,false,3340417935,Bennett,Dietz,Bradock,bbradock2t@ehow.com,6971922739,Oaxaca,Scofield,Santo Domingo Tepuxtepec,36599,86427,XCIZ148214DPH,12,87678.58,4,0147641932,,,true,false,true,false,false,2021-06-14
1982826289,false,true,true,,Jolyn,McCaughey,Stickel,jstickel2u@weibo.com,9234726412,Tlaxcala,Fulton,Alpoyeca,0130,74413,YJIC685138JBB,,,,,TEOT217940PNFLUZAE,20424,false,false,false,false,false,
0317066168,true,true,true,3199104599,Bud,Eckart,Chivrall,bchivrall2v@ted.com,0483970413,Baja California,Hintze,Pahuatln,074,11739,SVYY014305RZO,99,20644.69,16,9323372920,USPV365477RXMGYUEQ,32190,false,false,true,false,false,2018-07-12
6216334768,false,false,true,,Sissy,Rodinger,Fritschmann,sfritschmann2w@ca.gov,9755431065,Hidalgo,Superior,Cojumatln de Rgules,578,75949,RSFE553993RFS,,,,,,,false,false,false,false,false,
4535694681,true,true,true,6300724362,Elissa,Gecks,Chaplyn,echaplyn2x@fema.gov,8061146677,Tamaulipas,Ramsey,San Andrs Sinaxtla,28041,50509,GGRC607949MUM,35,51894.5,14,1547678671,KZKD524421FQCQCYXH,29894,true,false,true,true,false,2019-01-29
2072125457,false,false,true,,Bryana,MacKaile,Bloxsome,bbloxsome2y@1688.com,0428937946,Baja California,Warner,Tianguismanalco,38826,63296,UWNN298774RJQ,,,,,,,false,false,false,false,false,
9435837047,true,true,false,1993519567,Charlene,Castaignet,Potier,cpotier2z@mashable.com,7180581730,Zacatecas,Pawling,Pichucalco,24714,17825,ZQAQ713902AEO,71,51712.93,6,5524455565,SHZX260668PMIQFAOK,31586,true,true,false,false,false,2018-03-15
0430044046,false,true,false,,Grace,Sparshatt,Lazare,glazare30@usgs.gov,7211475034,Campeche,Manitowish,San Agustn Amatengo,930,36994,CFUP697395PWJ,,,,,PYYT644104XEXLUIRA,9096,false,false,false,false,false,
5274510639,false,false,false,,Rubie,Scrancher,Bluck,rbluck31@netlog.com,7385028348,Tamaulipas,Becker,Miahuatln de Porfirio Daz,895,36483,QHQI767848IWV,,,,,,,false,false,false,false,false,
7493248726,true,true,false,3575150287,Pippy,Coad,Hugin,phugin32@geocities.com,1680232390,Durango,Grim,Magdalena Ocotln,3925,44146,VGLZ951853AFB,72,57876.39,33,9797688484,LXPE785230IUCYMBLU,12398,true,true,false,false,false,2019-02-14
2001345257,true,true,true,2222748404,Ferrel,Awmack,Moorhead,fmoorhead33@photobucket.com,6443914229,Ciudad de México,Westerfield,Santa Mara Tecomavaca,992,22675,TGFM927759XWE,41,19491.84,21,5052826052,QLFN564853QVWQMHPJ,43282,false,true,false,true,true,2020-10-16
0089859717,true,true,false,0969009840,Indira,Espada,Fishlee,ifishlee34@mit.edu,1336152933,San Luis Potosi,Kingsford,Cuautla,0,84832,FUMH132892HXK,30,73198.08,31,8756054269,IRFK294738OXNPFWTY,44059,true,false,true,false,true,2021-06-28
1519331946,false,true,true,,Jodee,Philpin,Inde,jinde35@mediafire.com,5487029093,Guanajuato,Tomscot,Zacatln,0153,66194,XNUM604212VBR,,,,,UUDK042639XDVFITFN,42195,false,false,false,false,false,
